,Company,Date,Trade,Job,Job_Cleaned,Job_Focus,Word_Count,Project_Type,Total_Pay,Pay_Rate_Type,Pay_Rate_in_Dollars,Pay_Rate_Original,Hours_Worked,Avg_Hourly_Pay,How Quickly?,Pay Format,Relationship,Rights,Contract,On-site,Kill Fee,Kill Fee Amount,Overtime,Scope Expansion,Expenses,Reimbursement,Workplace Safety,Pitch Guide,Listed Rates,Grant Funding,Grant Rate,Section,Country,FSP Membership,State,Company Country,Pronouns,Race and/or Ethnicity,Career Level,Age,Experience,Gender Identity,Original_Date,company_names_clean,news_type
11,Ad Agency,2021-06-01,Designer,Logo Design,logo design,graphics/design,,graphics,1750,,0,,,,2 weeks or less,Check by mail,Pre-existing relationship,Work For Hire,No,,,,,,,,,,,,,,,,,,,,,,,,2021-06-01,Not Specified,not_news
12,Ad Agency,2021-05-25,Designer,Logo Design,logo design,graphics/design,,graphics,2064,,0,,,,30 days,Direct Deposit,Pre-existing relationship,Work For Hire,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,"Health &amp; Wellness, Technology",Canada,No,,Canada,He/His,White,20-25 years,44,Loved it,Male,2021-05-25,Not Specified,not_news
13,Adweek,2020-01-02,"Copy Editor, Editor",Editor/Copy Editor,editor/copy editor,editing,,other,25,per hour,25,$25/hr,,,30 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-02,Adweek,news
14,AFAR,2024-01-01,Writer,800 words reporting with interviews,800 words reporting with interviews,writing and reporting,800,article,400,per word,0.5,50 cents per word,10,40,30 days,Direct Deposit,They reached out to me with an assignment,Work For Hire,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Hazard pay was not required,No,Publicly Available,No,,"International News, Travel",Spain,No,,United States,Prefer not to say,Hispanic,10-15 years,,Loved it,Female,2024-01-01,AFAR Media,news
15,Air Mail,2023-08-08,Writer,"Writing - interviews, research",writing  interviews research,writing and reporting,,other,2000,per word,1,$1 per word ($2000),48,41.67,2 weeks or less,Direct Deposit,"They asked me to pitch, They reached out to me with an assignment",Shared Copyright,Yes,No,"Yes, but the job wasn't killed",500,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,International News,usa,No,,usa,Prefer not to say,Prefer not to say,25 &amp; up,46,Loved it,Prefer not to say,2023-08-08,Air Mail,news
16,Air Mail,2020-08-12,Writer,"Book review, 600 words",book review 600 words,writing and reporting,600,review,600,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-12,Air Mail,news
17,Airbnb,2020-02-01,"Copy Editor, Writer","Blog writing, some content strategy, email newsletters",blog writing some content strategy email newsletters,writing and reporting,,social content,115,per hour,115,115 per hour USD,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,Yes,Unsure,,Did not require overtime,Job expanded &amp; I was compensated,Required expenses &amp; I wasn't reimbursed,Very convoluted. I had to file a form through the agency (PRO Unlimited) in a portal I had never used before. No guidance. Reimbursement wasn't approved and I didn't have the time &amp; energy to chase it.,Hazard pay was not required,Unsure,No,No,,Branded/Sponsored Content,United States,No,CA,USA,She/Her,"Jewish, White",5-10 years,30,"Would not recommend to others, It's a lot of money, but they treat contractors shittily. ",Female,2020-02-01,Airbnb,not_news
18,Al Jazeera,2024-01-01,"Video Production, Videographer","Interview shoot + B roll (1 day, two camera, lighting, lav/boom audio, remote producing)",interview shoot + b roll (1 day two camera lighting lav/boom audio remote producing),film/video,,video,600,,0,,8,75,30 days,Direct Deposit,No pre-existing relationship,Work For Hire,No,Yes,"No, but the job wasn't killed",,"They requested a free pick-up shoot, I pushed back, they withdrew",Job expanded &amp; I wasn't compensated,Did not require expenses,,Was not hazardous,Unsure,Unsure,No,,International News,USA,No,,"Qatar, US based sub contractor did the hire",She/Her,White Passing,5-10 years,,Whatevs,"Cis, Female",2024-01-01,Al Jazeera,news
19,Al Jazeera,2021-09-12,Writer,4,4,other,,other,180,,0,,90,2,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2021-09-12,Al Jazeera,news
20,Al Jazeera,2023-12-01,Writer,2000 word feature story which included interviews and research,2000 word feature story which included interviews and research,writing and reporting,2000,feature,800,,0,,20,40,30 days,Direct Deposit,Cold pitch - I reached out to them,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Cooking,,No,,,,,,,"Would recommend to others, They had few levels of fact checking which I appreciated",,2023-12-01,Al Jazeera,news
21,Al Jazeera,2020-11-15,Writer,Longform feature,longform feature,writing and reporting,,feature,700,,0,,,,,Direct Deposit,Cold pitch - I reached out to them,,,,,,,Job expanded &amp; I wasn't compensated,,,,,,,,,,,,,,,,,Hated it,,2020-11-15,Al Jazeera,news
22,Al Jazeera,2020-01-01,Writer,longform narrative feature,longform narrative feature,writing and reporting,,feature,800,,0,,,,New Job - Still Waiting,,Cold pitch - I reached out to them,Unsure,No,No,Unsure,,Unsure,Job expanded &amp; I wasn't compensated,Required expenses &amp; I wasn't reimbursed,,Was not hazardous,No,No,No,,"International News, Politics",Israel,No,,,He/His,"Jewish, White",0-5 years,27,Whatevs,Male,2020-01-01,Al Jazeera,news
23,Al Jazeera Arabic,2020-09-01,Producer,Elections coverage,elections coverage,writing and reporting,,other,17000,per day,575,$550 or $600 per day,300,56.67,6 weeks,Direct Deposit,"Pre-existing relationship, Network referral",Work For Hire,Yes,Yes,Unsure,,Required overtime &amp; I wasn't compensated,Job expanded &amp; I was compensated,Required expenses &amp; I was reimbursed,,Did not receive hazard pay,Publicly Available,Publicly Available,Unsure,,"International News, Politics",USA,Yes,PA,Qatar,They/Their,White,5-10 years,,"Loved it, Whatevs, Would recommend to others, Would not recommend to others","Genderfluid, Genderqueer, Nonbinary",2020-09-01,Al Jazeera,news
24,Alta,2024-10-01,Writer,"Q&amp;A with an author, 1200 words-ish",q&amp;a with an author 1200 words ish,writing and reporting,1200,article,800,,0,,15,53.33,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2024-10-01,Alta Journal,news
25,Alta,2024-04-04,Writer,2000 word feature,2000 word feature,writing and reporting,2000,feature,1725,,0,,,,2 weeks or less,Check by mail,Pre-existing relationship,Unsure,Verbal or ‘handshake’ agreement,No,Unsure,,Did not require overtime,Job did not expand,,,Was not hazardous,No,No,No,,"International News, Fiction General/Genre",United States,Yes,California,United States,She/Her,White,5-10 years,34,Loved it,Cis,2024-04-04,Alta Journal,news
26,Alta Journal,2024-03-01,Writer,"Book review, 800-1000 words",book review 800 1000 words,writing and reporting,900,review,800,,0,,10,80,30 days,Check by mail,Pre-existing relationship,Unsure,Unsure,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,"Entertainment, Culture?",USA,Yes,CA,CA,she/her/they/them,"Jewish, White",10-15 years,34,Loved it,"Female, Genderqueer, Nonbinary",2024-03-01,Alta Journal,news
27,Alta Journal,2023-07-31,,Single book review,single book review,writing and reporting,,review,800,per article,800,$800 per piece,11.5,69.57,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2023-07-31,Alta Journal,news
28,Ambrook Research,2024-01-01,Writer,Reporting,reporting,writing and reporting,,other,500,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-01,Ambrook Research,news
29,Ambrook Research,2024-01-01,Writer,"Reported story, ended up ~1,500 words",reported story ended up ~1500 words,writing and reporting,1500,article,600,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-01,Ambrook Research,news
30,Ambrook Research,2025-03-01,Writer,"1,000 words reported",1000 words reported,writing and reporting,1000,article,500,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-01,Ambrook Research,news
31,Ambrook Research,2025-03-27,Writer,"1,200 words reporting",1200 words reporting,writing and reporting,1200,article,850,,0,,19.5,43.59,New Job - Still Waiting,,Pre-existing relationship,Unsure,No,No,"No, but the job wasn't killed",,,Job expanded &amp; I was compensated,Did not require expenses,,,Publicly Available,Publicly Available,No,,,United States,No,North Carolina,United States,He/His,White,5-10 years,33,Loved it,Male,2025-03-27,Ambrook Research,news
32,Ambrook Research,2025-03-18,Writer,"1,200 word reported story",1200 word reported story,writing and reporting,1200,article,750,,0,,17.66,42.47,New Job - Still Waiting,Haven't been paid yet,Pre-existing relationship,Unsure,No,No,"No, but the job wasn't killed",,,Job did not expand,Did not require expenses,,,Publicly Available,Publicly Available,No,,Science,United States,No,North Carolina,,He/His,White,5-10 years,33,Loved it,Male,2025-03-18,Ambrook Research,news
33,Ambrook Research,2025-01-31,Writer,1200 words reporting,1200 words reporting,writing and reporting,1200,article,720,per word,0.6,$0.60 per word,20,36,2 weeks or less,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Unsure,No,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Hazard pay was not required",Publicly Available,Publicly Available,No,,Agriculture,United States,No,New York,United States,She/Her,White,0-5 years,28,"Loved it, Would recommend to others","Cis, Female",2025-01-31,Ambrook Research,news
34,Ambrook Research,2025-02-24,Writer,1200 words reporting,1200 words reporting,writing and reporting,1200,article,720,per word,0.6,$0.60 per word,20,36,30 days,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Unsure,No,No,"No, &amp; the job was killed",,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Hazard pay was not required",Publicly Available,Publicly Available,No,,"National News, Science, Agriculture ",United States,Yes,New York,United States,She/Her,White,0-5 years,28,"Loved it, Would recommend to others","Cis, Female",2025-02-24,Ambrook Research,news
35,Ambrook Research,2025-01-09,Writer,1100 words reporting,1100 words reporting,writing and reporting,1100,article,750,,0,,35,21.43,New Job - Still Waiting,Haven't been paid yet,"Pre-existing relationship, They reached out to me with an assignment",,No,No,"No, but the job wasn't killed",,,,,,,,,,,,,No,North Carolina,,He/His,White,5-10 years,33,"Loved it, Would recommend to others","Cis, Male",2025-01-09,Ambrook Research,news
36,Ambrook Research,2025-01-14,Writer,1000 words reporting,1000 words reporting,writing and reporting,1000,article,600,per word,0.6,$0.6 per word,10,60,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,Unsure,Unsure,,Health &amp; Wellness,United States,No,New York,United States,She/Her,White,0-5 years,31,Loved it,Female,2025-01-14,Ambrook Research,news
37,Ambrook Research,2024-10-01,Writer,Roughly 1000-word reported story,roughly 1000 word reported story,writing and reporting,1000,article,720,,0,,22.5,32,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,No,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,,United States,No,North Carolina,United States,He/His,White,5-10 years,33,"Loved it, Would recommend to others",Male,2024-10-01,Ambrook Research,news
38,Ambrook Research,2024-11-22,Writer,1200 words reporting,1200 words reporting,writing and reporting,1200,article,720,per word,0.6,$0.60 per word (went up from $0.50),20,36,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,Verbal or ‘handshake’ agreement,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Hazard pay was not required",No,Publicly Available,No,,National News,United States,Yes,New York,United States,She/Her,White,0-5 years,27,"Loved it, Would recommend to others","Cis, Female",2024-11-22,Ambrook Research,news
39,Ambrook Research,2024-09-06,Writer,1200 words reporting,1200 words reporting,writing and reporting,1200,article,600,per word,0.5,$0.50 per word,15,40,2 weeks or less,Direct Deposit,Cold pitch - I reached out to them,Unsure,Verbal or ‘handshake’ agreement,No,Unsure,,Did not require overtime,Job did not expand,Required expenses &amp; I wasn't reimbursed,,"Was not hazardous, Hazard pay was not required",No,Publicly Available,No,,National News,United States,Yes,New York,United States,She/Her,White,0-5 years,27,"Loved it, Would recommend to others","Cis, Female",2024-09-06,Ambrook Research,news
40,Ambrook Research,2024-08-01,Writer,"1,200 words, reported",1200 words reported,writing and reporting,1200,article,600,,0,,,,2 weeks or less,Direct Deposit,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,2024-08-01,Ambrook Research,news
41,Ambrook Research,2024-08-15,Writer,1000 word story,1000 word story,writing and reporting,1000,article,600,,0,,20,30,2 weeks or less,Direct Deposit,"Pre-existing relationship, They asked me to pitch",Unsure,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,,No,No,Unsure,,National News,,No,,,,,,,"low pay, cool topics",,2024-08-15,Ambrook Research,news
42,Ambrook Research,2024-07-01,Writer,"Assigned at 1500 words, ended up around 1800, reported essay",assigned at 1500 words ended up around 1800 reported essay,writing and reporting,1800,essay,750,per word,0.5,$0.50 per word,20,37.5,,,,,,,,,,,,,,,,,,,United States,No,New york,US,They/Their,White,0-5 years,25,"Loved it, Would recommend to others",Nonbinary,2024-07-01,Ambrook Research,news
43,American Chemical Society,2022-11-01,Writer,1200 word article synthesizing information from 5 interviews,1200 word article synthesizing information from 5 interviews,writing and reporting,1200,article,1500,,0,,15,100,2 weeks or less,Direct Deposit,"Pre-existing relationship, They reached out to me with an assignment",Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Did not receive hazard pay, Hazard pay was not required",No,No,No,,Science,USA,Yes,Illinois,USA,She/Her,White,5-10 years,,"Loved it, Would recommend to others","Cis, Female",2022-11-01,American Chemical Society,not_news
44,American Geophysical Union,2024-01-01,Writer,200-400 word summary of research paper with art,200 400 word summary of research paper with art,writing and reporting,300,other,300,,0,,3,100,30 days,Direct Deposit,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,,,Was not hazardous,,No,No,,Science,USA,Yes,Michigan,USA,She/Her,White,5-10 years,,Whatevs,Female,2024-01-01,AGU,not_news
45,American Institutes for Research,2025-01-01,"Copy Editor, Writer, Qualitative researcher",Ongoing copy editing,ongoing copy editing,editing,,other,1400,per hour,70,$70/hour (I do ongoing copy editing for them),20,70,30 days,Direct Deposit,Network referral,Work For Hire,Yes,No,"No, but the job wasn't killed",,,Job did not expand,,,,,,Unsure,,,US,Yes,Illinois,US,She/Her,White,25 &amp; up,57,Would recommend to others,Female,2025-01-01,American Institutes for Research,not_news
46,American Kennel Club,2021-04-01,Writer,"1,500 word profile with one original source",1500 word profile with one original source,writing and reporting,1500,article,400,,0,,,,2 weeks or less,Paypal,"Pre-existing relationship, They reached out to me with an assignment",,,No,,,Did not require overtime,Job did not expand,Did not require expenses,,,,,,,,,,,,,,,,,,2021-04-01,American Kennel Club,not_news
47,American Prospect,2020-09-28,Writer,2000 words reporting,2000 words reporting,writing and reporting,2000,article,600,,0,,,,30 days,Direct Deposit,Cold pitch - I reached out to them,Unsure,No,No,Unsure,,,,,,,Publicly Available,No,,,National News,USA,No,MN,USA,She/Her,White,5-10 years,28,Would recommend to others,Female,2020-09-28,The American Prospect,news
48,Amino (Narvii Inc),2019-05-20,Animator,making 12 gifs for a sticker pack,making 12 gifs for a sticker pack,graphics/design,,graphics,800,,0,,,,2 weeks or less,Direct Deposit,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,,United States,No,Missouri,United States,She/Her,White,0-5 years,25,Whatevs,Female,2019-05-20,Amino,not_news
49,AMV BBDO (UK branch),2020-11-10,Illustrator,Full page illustration,full page illustration,graphics/design,,graphics,1750,per graphic,1500,"1,500 per 1 illustration. 250 per 1 year global use license",,,New Job - Still Waiting,Haven't been paid yet,They reached out to me with an assignment,"Not sure, but they are paying me to global license for 1 year, so def not work for hire",Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Unsure,No,No,,"Health &amp; Wellness, Branded/Sponsored Content",USA,No,New York,UK,She/Her,"Jewish, White",5-10 years,32,"Whatevs, Would recommend to others",,2020-11-10,AMV BBDO,not_news
50,Analog Science Fiction &amp; Science Fact,2023-01-01,Writer,Short Story,short story,writing and reporting,,article,700,per word,0.08,8 cents per word,30,23.33,2 weeks or less,Direct Deposit,Pre-existing relationship,1st Rights,Yes,No,"No, but the job wasn't killed",,"Paid by the word, not hourly",Job did not expand,Did not require expenses,,Worked at home.,Publicly Available,Publicly Available,No,,Fiction General/Genre,United States,No,MD,US,He/His,White,25 &amp; up,,"Loved it, Would recommend to others",Male,2023-01-01,Analog Science Fiction and Fact,not_news
51,Anarchist Review of Books,2022-10-01,,Single book review,single book review,writing and reporting,,review,25,,0,,25,1,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,2022-10-01,Anarchist Review of Books,news
52,Apartment Therapy,2024-02-02,Writer,Quick-hit news assignment (under 500 words),quick hit news assignment (under 500 words),writing and reporting,500,article,50,per assignment,50,$50 per assignment,1,50,2 weeks or less,Direct Deposit,Pre-existing relationship,Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,No,No,,Home &amp; Garden,United States,Yes,New York,United States,She/Her,White,5-10 years,35,Whatevs,"Cis, Female",2024-02-02,Apartment Therapy,news
53,Apple Music,2025-01-01,Writer,editorial notes,editorial notes,editing,,other,250,,0,,4,62.5,30 days,Direct Deposit,Pre-existing relationship,Unsure,Yes,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Entertainment,USA,Yes,Massachusetts,USA,She/Her,White,10-15 years,37,Whatevs,"Cis, Female",2025-01-01,Apple Music,not_news
54,Archis,2024-01-01,Writer,1500 words essay,1500 words essay,writing and reporting,1500,essay,487,per word,0.23,$0.23 per word,,,30 days,Paypal,Cold pitch - I reached out to them,Unsure,No,No,Unsure,,,,,,,No,No,Unsure,,Architecture,Portugal,No,,Netherlands,Prefer not to say,"East Asian, Jewish, White Passing, Indigenous",0-5 years,28,,Female,2024-01-01,Archis,not_news
55,Architecture Firm,2021-04-20,Photographer,Architectural photography shoot of an entire home,architectural photography shoot of an entire home,photography,,graphics,2050,per graphic,85,"Day rate to shoot $1400, $85 per photo",,,2 weeks or less,Interac e transfer,Pre-existing relationship,Unsure,Verbal or ‘handshake’ agreement,Yes,"No, but the job wasn't killed",,Did not require overtime,,,,,,,,,,,,,,,,,,,,2021-04-20,Not Specified,not_news
56,Ars Technica,2021-10-01,Editor,"I was the former features editor here, our rate was $0.35/word for stories 2,000 words and above",i was the former features editor here our rate was $0.35/word for stories 2000 words and above,writing and reporting,2000,feature,750,per word,0.35,"$0,35",,,30 days,Direct Deposit,"Pre-existing relationship, Cold pitch - I reached out to them",Work For Hire,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,Technology,United States,No,Texas,United States,He/His,White,5-10 years,36,Whatevs,Male,2021-10-01,Ars Technica,news
57,Art &amp; Antiques,2025-03-16,Writer,1000-word article,1000 word article,writing and reporting,1000,article,300,,0,,16,18.75,2 months,Direct Deposit,Pre-existing relationship,Work For Hire,No,No,"No, but the job wasn't killed",,,Job did not expand,Did not require expenses,,Was not hazardous,No,No,No,,,United States,Yes,New York,United States,He/His,East Asian,10-15 years,40,Loved it,"Cis, Male",2025-03-16,Art & Antiques Magazine,news
58,Art &amp; Education,2021-02-01,Writer,"3000 words, reporting",3000 words reporting,writing and reporting,3000,article,1000,,0,,,,New Job - Still Waiting,Haven't been paid yet,Network referral,1st Rights,Yes,,"Yes, but the job wasn't killed",,,,,,,,,,,,,,,,,,,,,,2021-02-01,Art Education Journal,ambiguous
59,Art Forum,2025-01-24,Writer,Art exhibition review ca. 700 words,art exhibition review ca. 700 words,writing and reporting,700,review,250,,0,,6,41.67,New Job - Still Waiting,Haven't been paid yet,"No pre-existing relationship, They asked me to pitch",Unsure,No,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,No,No,Unsure,,"Non Fiction General/Genre, Art",USA,Yes,New York,US,He/His,Black,,54,"Whatevs, Would not recommend to others","Cis, Male",2025-01-24,Artforum,news
60,Art in America,2021-04-10,Writer,300 word review,300 word review,writing and reporting,300,review,150,,0,,,,2 months,,,Work For Hire,Yes,,"No, &amp; the job was killed",,,,,,,,,,,Art criticism,,,,,,,,,,,2021-04-10,Art in America,news
61,Artforum International Magazine,2019-11-01,Writer,250 word exhibition review,250 word exhibition review,writing and reporting,250,review,50,,0,,,,2 months,Check by mail,Pre-existing relationship,Unsure,No,No,Unsure,,,,Did not require expenses,,Was not hazardous,No,No,No,,,United States,No,California,United States,He/His,"Hispanic, Jewish, White",0-5 years,,,"Cis, Male",2019-11-01,Artforum,news
62,Artisan home entertainment maker (not listing name here because not allowed to),2020-03-01,"Copy Editor, Writer, SEO Consulting","SEO-friendly text revamp of existing website along with consulting on how to structure it for better CTR, a 650 word article for a local newspaper, and a package of promotional materials for a trade show",seo friendly text revamp of existing website along with consulting on how to structure it for better ctr a 650 word article for a local newspaper and a package of promotional materials for a trade show,consulting,,other,920,per hour,75,normal hourly rate of 75 but haggled for a bit until we found a sum we both liked,,,30 days,Direct Deposit,"They asked me to pitch, Network referral",Work For Hire,Verbal or ‘handshake’ agreement,No,"No, but the job wasn't killed",,Did not require overtime,Job did not expand,Did not require expenses,,"Was not hazardous, Hazard pay was not required",No,No,No,,"Technology, Branded/Sponsored Content",Italy,No,,Italy,He/His,White,0-5 years,32,"Whatevs, Would recommend to others","Cis, Male",2020-03-01,Not Specified,not_news
63,ArtNews,2023-04-06,Writer,"1,200 words for artist profile",1200 words for artist profile,writing and reporting,1200,article,400,per word,0.33,$0.33 per word,10,40,New Job - Still Waiting,Haven't been paid yet,"No pre-existing relationship, Cold pitch - I reached out to them",Unsure,Yes,No,Unsure,,Did not require overtime,Job did not expand,Did not require expenses,,Was not hazardous,Publicly Available,Publicly Available,No,,Art,United States,No,NY,United States,She/Her,Latine,0-5 years,35,Hated it,Female,2023-04-06,ARTnews,news
